Division,Conference,Date,Home Team,Away Team,Home Score,Away Score,Venue,Season,Video Collected,Source,Link
Premier,Midwest Central,2024-08-17,Diverse City FC Pro Academy,Urbana City FC,10,0,,2024 Fall,,,
Premier,Midwest Central,2024-08-17,Chicago Strikers,United SC,1,4,Nike Sports Complex,2024 Fall,,,
Premier,Midwest Central,2024-08-17,Panathinaikos Chicago,Chicago Nation FC,1,0,Redmond Park,2024 Fall,,,
Premier,Midwest Central,2024-08-18,KS Wisloka Chicago,Allegiant FC Hammond,2,1,Redmond Park,2024 Fall,,,
Premier,Midwest Central,2024-08-24,Chicago Nation FC,Black Cat FC,1,1,,2024 Fall,,,
Premier,Midwest Central,2024-08-24,Allegiant FC Hammond,Round Lake Evolution FC,4,1,Round Lake Dowling Park,2024 Fall,,,
Premier,Midwest Central,2024-08-24,United SC,Panathinaikos Chicago,4,2,Lions for Hope Sports Complex,2024 Fall,,,
Premier,Midwest Central,2024-08-25,Urbana City FC,Chicago Strikers,1,5,Rantoul Family Sports Complex,2024 Fall,,,
Premier,Midwest Central,2024-08-31,Panathinaikos Chicago,Urbana City FC,14,0,Redmond Park,2024 Fall,,,
Premier,Midwest Central,2024-09-07,Berber City FC,Allegiant FC Hammond,3,0,Dunbar Park Turf,2024 Fall,,,
Premier,Midwest Central,2024-09-07,Chicago Nation FC,Round Lake Evolution FC,1,1,College of DuPage Stadium,2024 Fall,,,
Premier,Midwest Central,2024-09-08,Diverse City FC Pro Academy,Panathinaikos Chicago,3,0,,2024 Fall,,,
Premier,Midwest Central,2024-09-08,United SC,KS Wisloka Chicago,1,2,,2024 Fall,,,
Premier,Midwest Central,2024-09-08,Urbana City FC,Black Cat FC,0,9,,2024 Fall,,,
Premier,Midwest Central,2024-09-14,KS Wisloka Chicago,Urbana City FC,5,1,,2024 Fall,,,
Premier,Midwest Central,2024-09-14,Round Lake Evolution FC,United SC,4,0,Round Lake High School,2024 Fall,,,
Premier,Midwest Central,2024-09-14,Panathinaikos Chicago,Chicago Strikers,2,0,Redmond Park,2024 Fall,,,
Premier,Midwest Central,2024-09-14,Black Cat FC,Diverse City FC Pro Academy,2,3,,2024 Fall,,,
Premier,Midwest Central,2024-09-15,Allegiant FC Hammond,Chicago Nation FC,0,2,Hammond Central,2024 Fall,,,
Premier,Midwest Central,2024-09-18,Berber City FC,KS Wisloka Chicago,0,2,Redmond Recreational Complex,2024 Fall,,,
Premier,Midwest Central,2024-09-21,Urbana City FC,Round Lake Evolution FC,2,13,Rantoul Family Sports Complex,2024 Fall,,,
Premier,Midwest Central,2024-09-21,United SC,Allegiant FC Hammond,6,1,Lions for Hope Sports Complex,2024 Fall,,,
Premier,Midwest Central,2024-09-21,Diverse City FC Pro Academy,KS Wisloka Chicago,2,2,,2024 Fall,,,
Premier,Midwest Central,2024-09-21,Chicago Strikers,Black Cat FC,0,2,,2024 Fall,,,
